City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Samarai,PG,-10.6167,150.6667,82.94,74,62,8.63,broken clouds
203,Korla,CN,41.7597,86.1469,61.18,25,6,3.87,clear sky
204,Fushun,CN,41.8558,123.9233,53.31,47,6,7.7,clear sky
205,Kendari,ID,-3.945,122.4989,83.59,74,46,3.62,scattered clouds
206,Iroquois Falls,CA,48.7669,-80.6831,48.04,82,100,5.5,overcast clouds
207,Kodinsk,RU,58.6881,99.1844,33.82,76,100,10.6,overcast clouds
208,Constitucion,CL,-35.3333,-72.4167,52.93,75,12,7.31,few clouds
209,Saskylakh,RU,71.9167,114.0833,16.14,90,34,5.73,scattered clouds
210,Amapa,BR,1.0,-52.0,72.61,99,100,2.37,overcast clouds
211,Maymyo,MM,22.0333,96.4667,75.15,61,2,2.42,clear sky
212,Cabo San Lucas,MX,22.8909,-109.9124,85.3,31,0,10.36,clear sky
213,Lasa,IT,46.6166,10.7002,44.37,91,48,3.49,scattered clouds
214,Ponta Do Sol,PT,32.6667,-17.1,64.71,75,0,4.12,clear sky
215,Tombouctou,ML,20.0,-3.0,75.22,19,0,11.68,clear sky
216,Karratha,AU,-20.7377,116.8463,82.94,45,100,16.64,light rain
217,San Cristobal,VE,7.7669,-72.225,77.18,95,94,3.18,overcast clouds
218,Kedrovyy,RU,56.1667,91.8167,43.21,80,100,6.17,overcast clouds
219,Camocim,BR,-2.9022,-40.8411,76.93,90,100,10.29,overcast clouds
220,Sibu,MY,2.3,111.8167,82.15,81,85,2.08,overcast clouds
221,Deputatskiy,RU,69.3,139.9,30.16,83,100,0.69,overcast clouds
222,Provideniya,RU,64.3833,-173.3,29.44,56,8,12.19,clear sky
223,Catalao,BR,-18.1658,-47.9464,66.07,48,0,5.14,clear sky
224,Tautira,PF,-17.7333,-149.15,79.65,73,83,6.71,broken clouds
225,Uvat,RU,59.1433,68.8953,36.0,77,100,6.87,overcast clouds
226,Bengbu,CN,32.9408,117.3608,66.02,51,8,11.45,clear sky
227,Gazojak,TM,41.1875,61.4036,66.79,57,100,12.17,overcast clouds
228,Bambous Virieux,MU,-20.3428,57.7575,73.22,83,0,2.93,clear sky
229,Orotukan,RU,62.2667,151.7,32.36,91,32,4.74,scattered clouds
