City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
570,Sulangan,PH,81.7,overcast clouds,11.1373,123.7228,Maia's Beach Resort
572,La Quinta,US,90.64,clear sky,33.6634,-116.31,Embassy Suites by Hilton La Quinta Hotel & Spa
576,Valvedditturai,LK,84.24,overcast clouds,9.8167,80.1667,Kanahathy Vadali
577,Port-Gentil,GA,81.18,light rain,-0.7193,8.7815,Fengshui Residence
580,Jiwani,PK,82.51,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
582,Bilma,NE,89.78,clear sky,18.6853,12.9164,Expeditions Ténére voyages
583,Arlit,NE,83.48,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
586,Cerano,MX,78.57,broken clouds,20.1167,-101.3833,Hotel California
587,Metro,ID,80.96,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
588,Sao Felix Do Xingu,BR,75.99,broken clouds,-6.6447,-51.995,Rio Xingu Camping
589,Caxito,AO,71.83,overcast clouds,-8.5785,13.6643,
594,Chandpur,IN,82.76,few clouds,29.15,78.2667,A.A.S Garments
