City_ID,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Wind Speed
240,Manzanillo,CU,2022-05-01 04:09:38,20.3433,-77.1167,72.57,25,8.63
241,Ponerihouen,NC,2022-05-01 04:09:38,-21.0833,165.4,78.42,36,10.54
242,Bin Qirdan,TN,2022-05-01 04:09:39,33.1378,11.2197,62.69,11,21.32
243,Nelson Bay,AU,2022-05-01 04:09:39,-32.7167,152.15,70.0,100,7.05
244,Acapulco,MX,2022-05-01 04:08:46,16.8634,-99.8901,78.62,40,2.3
245,Los Llanos De Aridane,ES,2022-05-01 04:09:40,28.6585,-17.9182,60.55,0,12.66
246,Kapit,MY,2022-05-01 04:09:41,2.0167,112.9333,95.16,60,1.03
247,Bay Roberts,CA,2022-05-01 04:09:41,47.5999,-53.2648,44.33,100,4.0
248,Lincoln,US,2022-05-01 04:06:10,40.8,-96.667,50.29,100,25.32
249,Thompson,CA,2022-05-01 04:04:49,55.7435,-97.8558,30.16,100,9.35
250,Moose Factory,CA,2022-05-01 04:09:42,51.2585,-80.6094,35.29,13,5.55
251,Malinovoye Ozero,RU,2022-05-01 04:09:42,51.6753,79.7825,76.19,19,12.3
252,Niquero,CU,2022-05-01 04:09:43,20.0431,-77.5828,75.81,44,10.54
253,Zuwarah,LY,2022-05-01 04:09:43,32.9312,12.082,63.59,18,21.61
254,Pacific Grove,US,2022-05-01 04:09:44,36.6177,-121.9166,57.11,0,12.66
255,Rochester,US,2022-05-01 04:08:00,43.1548,-77.6156,45.36,75,3.44
256,Puerto Escondido,MX,2022-05-01 04:09:44,15.85,-97.0667,83.23,75,5.75
257,Los Dos Caminos,VE,2022-05-01 04:09:45,10.4939,-66.8286,71.62,95,1.01
258,Yining,CN,2022-05-01 04:09:45,29.0361,114.5636,67.06,100,2.53
259,Bambous Virieux,MU,2022-05-01 04:05:21,-20.3428,57.7575,77.22,26,10.07
260,Nauta,PE,2022-05-01 04:09:46,-4.5061,-73.5757,70.72,46,2.08
261,Niimi,JP,2022-05-01 04:09:46,34.9833,133.4667,69.4,100,11.54
262,Waipawa,NZ,2022-05-01 04:09:47,-41.4122,175.5153,60.13,28,11.86
263,Rudnya,RU,2022-05-01 04:09:47,54.947,31.0934,38.19,93,4.54
264,Itanhaem,BR,2022-05-01 04:06:23,-24.1831,-46.7889,70.79,86,4.21
265,Kinsale,IE,2022-05-01 04:09:48,51.7075,-8.5306,50.23,75,3.44
266,Mount Isa,AU,2022-05-01 04:06:09,-20.7333,139.5,85.77,75,16.11
267,Campbell River,CA,2022-05-01 04:04:27,50.0163,-125.2446,48.45,19,2.21
268,Jalu,LY,2022-05-01 04:06:55,29.0331,21.5482,73.53,99,11.56
269,Gondanglegi,ID,2022-05-01 04:09:49,-7.7479,112.0132,86.07,98,4.5
270,Roald,NO,2022-05-01 04:09:49,62.5833,6.1333,40.75,75,4.61
271,Yeppoon,AU,2022-05-01 04:06:20,-23.1333,150.7333,82.18,33,13.13
272,Vredendal,ZA,2022-05-01 04:09:50,-31.6683,18.5012,55.26,3,3.78
273,Chuy,UY,2022-05-01 04:04:42,-33.6971,-53.4616,54.63,97,5.08
274,Touros,BR,2022-05-01 04:09:51,-5.1989,-35.4608,78.55,95,12.88
275,Atikokan,CA,2022-05-01 04:09:51,48.7555,-91.6216,39.7,100,12.5
276,Cockburn Town,TC,2022-05-01 04:07:52,21.4612,-71.1419,76.87,74,22.12
277,Along,IN,2022-05-01 04:05:21,28.1667,94.7667,83.71,94,1.23
278,Balkhash,KZ,2022-05-01 04:09:52,46.844,74.9804,72.21,0,8.95
279,Misratah,LY,2022-05-01 04:06:32,32.3754,15.0925,64.89,82,19.93
280,Awjilah,LY,2022-05-01 04:09:53,29.1081,21.2869,74.01,100,10.96
281,Sidi Ali,DZ,2022-05-01 04:09:53,36.0998,0.4206,54.63,59,4.56
282,Bethel,US,2022-05-01 04:04:36,41.3712,-73.414,50.36,5,1.99
283,Jaisalmer,IN,2022-05-01 04:09:54,26.9147,70.9181,99.7,0,15.3
